Dish_Name,Diet_Type,Ingredients_Text
चाउ चाउ थोरन रेसिपी - chow chow thoran recipe,Vegetarian,"3 चाउ चाउ,1/2 कप नारियल - कस ले,2 हरी मिर्च,2 टहनी कढ़ी पत्ता,जीरा,1/2 छोटा चम्मच राइ,1/2 छोटा चम्मच हल्दी पाउडर,नमक - स्वाद अनुसार"
vegetarian potato hash recipe,Vegetarian,"200 grams Button mushrooms - quartered,1 Green Bell Pepper (Capsicum) - chopped,1/2 cup Sweet corn - steamed,1 Onion - finely diced,3 Potatoes (Aloo) - diced small,1 tablespoon Tomato Ketchup,2 teaspoon Soy sauce,1/2 teaspoon Italian seasoning,1 tablespoon Fresh Thyme leaves - minced,1 tablespoon Water,Salt and Pepper - to taste,Extra Virgin Olive Oil - for cooking"
thai yellow chicken curry recipe,Non Vegeterian,"1 inch Ginger - finely chopped,1 Yellow Bell Pepper (Capsicum) - diced,5 cloves Garlic - finely chopped,4 Dry Red Chilli,2 tablespoon Lemongrass - finely chopped,1/3 cup Coriander (Dhania) Leaves - finely chopped,1 tablespoon Coriander (Dhania) Seeds - ground,2 teaspoon Salt - salt to taste,1 teaspoon Black pepper powder,2 Kaffir lime leaves - chopped or you can use lemon zest,1-1/2 teaspoon Turmeric powder (Haldi),1 Onion - finely chopped,1 inch Ginger - chopped,4 cloves Garlic - chopped,1 Potato (Aloo) - peeled and diced,300 grams Chicken thighs - cut into small chunks,400 ml Coconut milk,1 teaspoon Sugar,1 tablespoon Sunflower Oil,Salt - to taste,Salt - to taste"
मंगानेम रेसिपी - goan style chana dal payasam recipe,Vegetarian,"1 कप चना दाल,1/2 कप साबूदाना,1 कप गुड़ - कस ले,1 कप नारियल का दूध,20 काजू - काट ले,1 बड़ा चम्मच घी"
कच्चे आम का रायता रेसिपी - raw mango raita,Vegetarian,"1 आम - raw,1-1/2 कप दही,नमक - to taste,1/2 छोटा चमच्च लाल मिर्च पाउडर,1/2 छोटा चमच्च जीरा पाउडर,1/2 छोटा चमच्च राइ,2 sprig कढ़ी पत्ता,हींग - चुटकी भर,1 छोटा चमच्च तेल"
okra bamia recipe,Vegetarian,"13 Bhindi (Lady Finger/Okra),4 Tomatoes - blanched,1 Onion - chopped,2 Garlic - minced,1 teaspoon Coriander Powder (Dhania),1/2 teaspoon Red Chilli powder,1 tablespoon Lemon juice,2 tablespoon Extra Virgin Olive Oil,Salt - to taste"
fruit pachadi recipe,Vegetarian,"2 cups Mixed fruits - cubed to bite size (I used pineapple,1 1/2 cup Curd (Dahi / Yogurt) - whisked,1/4 teaspoon Turmeric powder (Haldi),2 teaspoon Jaggery,Salt - to taste,Water - as required,1/4 cup Fresh coconut - grated,2 Green Chillies - roughly chopped,1 teaspoon Mustard seeds,1 teaspoon Mustard seeds,2 Dry Red Chilli - broken,1 teaspoon Sunflower Oil,1 sprig Curry leaves"
italian home style ravioli in lemon recipe-garlic white sauce recipe,Vegetarian,"1 cup All Purpose Flour (Maida) - durum wheat flour,1 Whole Eggs - whisked,2 teaspoons Del Monte Black Olives,1 pinch Salt,100 grams Paneer (Homemade Cottage Cheese),15-20 Red Amaranth Leaves - or spinach leaves,1 pinch Nutmeg powder - ( or you can grate nutmeg directly on the filling),1/4 teaspoon Black pepper powder,Salt - to taste,1 teaspoon Butter (unsalted),1 Onion - finely chopped,2 cloves Garlic - finely chopped,6-7 Cherry tomatoes - halved,10 Del Monte Green Olives - whole,5 Del Monte Black Olives - sliced,1 teaspoon Lemon zest,1/2 cup Fresh cream,1 cup Milk,5-6 Sichuan peppercorns - freshly crushed with mortar and pestle,1/2 teaspoon Red Chilli flakes - (optional),2 teaspoons Cheddar cheese - grated,Salt - to taste,2 teaspoons Lemon zest - grated,15-20 Parsley leaves - finely chopped,10-12 Mint Leaves (Pudina) - finely chopped,2 cloves Garlic - grated"
हरे टमाटर की सब्ज़ी रेसिपी - no onion no garlic raw tomato curry (recipe in hindi),Vegan,"500 ग्राम्स कच्चा टमाटर - काट ले,तेल - प्रयोग अनुसार,1 छोटा चमच्च जीरा,1 छोटा चमच्च राइ,1/2 छोटा चमच्च हींग,1 सुखी लाल मिर्च - तोड़ ले,2 हरी मिर्च - काट ले,1/2 छोटा चमच्च हल्दी पाउडर,1-1/2 छोटा चमच्च लाल मिर्च पाउडर,1 बड़ा चमच्च धनिया पाउडर,1 छोटा चमच्च जीरा पाउडर,1/2 छोटा चमच्च गरम मसाला पाउडर,2 बड़ा चमच्च कसूरी मेथी,नमक - स्वाद अनुसार"
uppu seedai recipe - krishna janmashtami | gokulashtami,Vegetarian,"1 cup Rice - washed and soaked for 2 hours and dried completely with a dry cloth,2 tablespoons White Urad Dal (Split),1 tablespoons Chana dal (Bengal Gram Dal),1/4 cup Fresh coconut - grated,1 tablespoon Sesame seeds (Til seeds),1/2 teaspoon Asafoetida (hing),2 tablespoons Ghee,1 teaspoon Salt - (adjust to taste),Sunflower Oil - for deep frying"
grilled rajma masala sandwich recipe,High Protein Vegetarian,"6 Whole Wheat Brown Bread,1 Onion - thinly sliced,2 Potatoes (Aloo) - boiled,1/2 cup Rajma (Large Kidney Beans) - cooked,1 inch Ginger - grated,1 clove Garlic - chopped,1 teaspoon Turmeric powder (Haldi),1 teaspoon Red Chilli powder,1 teaspoon Garam masala powder,1 teaspoon Chaat Masala Powder,Salt - to taste,Sunflower Oil - for cooking"
karnataka style avarekalu akki rotti recipe,Vegetarian,"2 cups Rice flour,1 cup Avarekalu / Lilva Beans,1 Onion - finely chopped,3 tablespoon Fresh coconut - shredded,3 Green Chillies - chopped fine,1/4 cup Curd (Dahi / Yogurt),1/2 teaspoon Cumin powder (Jeera),1 sprig Coriander (Dhania) Leaves - chopped,1 pinch Asafoetida (hing),Salt - to taste,Water - to knead dough"
goan style caldinho de abobora branca recipe (mild curry of white pumpkin),Vegetarian,"200 grams Vellai Poosanikai (Ash gourd/White Pumpkin) - skin peeled and chopped small,1 Onion - chopped,Salt - to taste,1 Lemon juice,2 sprig Coriander (Dhania) Leaves - chopped,Sunflower Oil,1/4 cup Fresh coconut - grated,1 teaspoon Cumin seeds (Jeera),1 inch Ginger - chopped,4 cloves Garlic - chopped,1 teaspoon Turmeric powder (Haldi)"
beans karam recipe (beans curry),Vegetarian,"500 grams Green beans (French Beans),2 Onions - chopped,1 tablespoon Coriander (Dhania) Seeds,1/2 teaspoon Cumin seeds (Jeera),4 Dry Red Chillies,2 Byadagi Dried Chillies,1 cup Fresh coconut - grated,2 tablespoons Dessicated Coconut,1 tablespoon Poppy seeds,1 Tamarind - lemon ball sized,2 tablespoons Jaggery,1 tablespoon Turmeric powder (Haldi),Salt - to taste,1 teaspoon Mustard seeds,10 Curry leaves,1/4 teaspoon Asafoetida (hing)"
indo chinese soya stir fry recipe with cashew nuts,Vegetarian,"500 grams Soy Chunks (Nuggets) - or substitute with Chicken chunks,4 cloves Garlic - finely chopped,2 Carrots (Gajjar) - cut into thin slices,1 Red Bell pepper (Capsicum) - cut in larger pieces,1/4 cup Spring Onion Greens - chopped finely,1/2 cup Green beans (French Beans) - chopped into 2 inch pieces,1 tablespoon Soy sauce,2 tablespoons Sweet and Spicy Red Chilli Sauce (Tomato Chilli Sauce),1/2 tablespoon Rice Vinegar - or regular vinegar,1 tablespoon Sesame (Gingelly) Oil,1/4 cup Cashew nuts,1 tablespoon Sesame seeds (Til seeds) - for garnish"
calicut payyoli chicken fry recipe,High Protein Non Vegetarian,"500 grams Chicken - cleaned and cut into 1 inch cubes,1 teaspoon Garlic - minced,1 teaspoon Ginger - minced,2 teaspoons Kashmiri Red Chilli Powder,1/2 teaspoon Turmeric powder (Haldi),2 tablespoon Vinegar,1 Green Chilli - slit lengthwise,1 tablespoon Meat masala,3 tablespoons Fresh coconut - grated,Salt - to taste,2 sprig Curry leaves,3 tablespoons Coconut Oil,100 ml Water"
mango musk melon chia seeds pudding recipe,Vegetarian,"2 cups Musk Melon - pulp,2 Mango (Ripe) - alphanso,1/2 cup Milk - or coconut milk,2 tablespoons Honey - or agave nectar,3 tablespoons Chia Seeds,2 tablespoons Pistachios,Ripe Bananas - slices,Mango (Ripe) - cubes,Pistachios - for garnishing"
kacche aam aur lehsun ki dal recipe -curried lentils with mango & garlic,High Protein Vegetarian,"1 cup Arhar dal (Split Toor Dal),1 Mango (Raw) - cut into 1 inch pieces,1 Tomato - finely chopped,1 Green Chilli - slit,1/2 teaspoon Turmeric powder (Haldi),Salt - to taste,2 1/2 cups Water,1 tablespoon Ghee,4 cloves Garlic - thinly sliced,1 teaspoon Cumin seeds (Jeera),1/4 teaspoon SSP Asafoetida (Hing),1/4 teaspoon Kashmiri Red Chilli Powder,2 Dry Red Chillies,Coriander (Dhania) Leaves - small bunch"
coconut peanut chutney recipe (no onion no garlic recipe),No Onion No Garlic (Sattvic),"1 cup Fresh coconut - grated,2 Green Chillies - chopped,2 sprigs Coriander (Dhania) Leaves - roughly chopped,2-4 Curry leaves,1/4 cup Roasted Peanuts (Moongphali),Salt - or rock salt to taste"
मेंथे तम्ब्ली रेसिपी - menthe tambli recipe,Diabetic Friendly,"2 छोटे चमच्च मेथी के दाने,3 सुखी लाल मिर्च,1/4 कप नारियल - कस ले,1-1/2 कप दही,1/2 छोटा चमच्च घी,नमक - स्वाद अनुसार,1 छोटा चमच्च घी,1/2 छोटा चमच्च राइ,1 कढ़ी पत्ता - थोड़े"
muesli chia seeds kaiser roll recipe - hard roll recipe,Vegan,"2-1/2 cups All Purpose Flour (Maida),1/2 cup Instant Oats (Oatmeal),1/4 cup Muesli,1/4 cup Chia Seeds,1-1/2 teaspoons Active dry yeast,1 teaspoon Salt,1 teaspoon Sugar,1 Whole Egg,2 tablespoons Butter,1 tablespoon Milk,2 tablespoons Sesame seeds (Til seeds)"
cheesy masala omelette recipe with roasted vegetables,Eggetarian,"2 Whole Eggs,Coriander (Dhania) Leaves - small bunch,1 Green Chilli - finely chopped,Salt - to taste,2 cloves Garlic - finely chopped,1/2 Onion - thinly sliced,1/4 cup Baby corn - cut lengthwise,1/4 Red Bell pepper (Capsicum) - thinly sliced,1 teaspoon Veeba Sweet Chilli Sauce,2 Stalks Spring Onion Greens - chopped,Salt - to taste,2 teaspoons Sunflower Oil,2 tablespoons Britannia Cheezza - grated"
aava pettina majjiga pulusu recipe - andhra style mor kuzhambu,Vegetarian,"1 cup Curd (Dahi / Yogurt) - whisked,1 cup Water,4 Baby Potatoes - boiled and peeled,1 Carrot (Gajjar) - diced,1/2 cup Bottle gourd (lauki),1 Tomato - quartered,Salt - to taste,1 Green Chilli - slit,1/4 teaspoon Turmeric powder (Haldi),1/4 teaspoon Asafoetida (hing),2 sprig Curry leaves,1 teaspoon Chana dal (Bengal Gram Dal),1 teaspoon Sesame seeds (Til seeds),1 teaspoon Rice,2 1/2 teaspoons Mustard seeds,1/2 tablespoon Fresh coconut - chopped into pieces,1/2 cup Hot water,1/2 teaspoon Sunflower Oil,1/2 teaspoon Mustard seeds,1/4 teaspoon Methi Seeds (Fenugreek Seeds) - a few,Asafoetida (hing) - a pinch"
szechwan hakka noodle momo recipe,Vegetarian,"1 Carrot (Gajjar) - finely chopped,1 Green Bell Pepper (Capsicum) - finely chopped,1 Onion - finely chopped,1 cup Hakka Noodles - boiled,5 Stalks Spring Onion (Bulb & Greens) - finely chopped,3 tablespoons Schezwan sauce,1 teaspoon Black pepper powder,Salt - to taste,1 cup All Purpose Flour (Maida),Water - to knead"
penne with creamy pumpkin sauce recipe with broccoli,Vegetarian,"500 grams Broccoli,500 grams Penne pasta,2 cups Pumpkin Pasta Sauce,Basil leaves - a few,Salt and Pepper - to taste,Extra Virgin Olive Oil - for cooking,Italian seasoning - for garnish"
gajar shalgam ka paani wala achar recipe - carrot and turnip pickle,Vegetarian,"4 Turnips - peeled & cut in thick slices,2 Carrots (Gajjar) - peeled & cut in thick slices,1-1/2 cups Water,2 tablespoons Vinegar,1 teaspoon Mustard seeds,1 tablespoon Fennel seeds (Saunf),1 teaspoon Cumin seeds (Jeera),1 teaspoon Methi Seeds (Fenugreek Seeds) - optional,Salt - as needed"
वीट ग्रास रसम रेसिपी - wheat grass rasam (recipe in hindi),Vegetarian,"100 ग्राम वीट ग्रास,8 छोटे टमाटर - चेरी टमाटर,20 ग्राम इमली,1-1/2 छोटा चमच्च रसम पाउडर,1/4 छोटा चमच्च हल्दी पाउडर,1/2 छोटा चमच्च राइ,2 कली लहसुन,1/2 छोटा चमच्च जीरा,1 सुखी लाल मिर्च,कढ़ी पत्ता - थोड़ा,हरा धनिया - थोड़ा,नमक - स्वाद अनुसार,1/2 छोटा चमच्च हींग,पानी - प्रयोग अनुसार"
mangalorean style biscuit roti recipe,Vegetarian,"3/4 cup Whole Wheat Flour,1 teaspoon Baking powder,Salt - to taste,2 tablespoons Sunflower Oil - hot,1 pinch Turmeric powder (Haldi),1/4 cup Water,3 tablespoons Sunflower Oil,1/4 teaspoon Mustard seeds,1 teaspoon White Urad Dal (Split),1/2 tablespoon Cumin powder (Jeera),1/2 tablespoon Coriander Powder (Dhania),1 tablespoon Sambar Powder,1 tablespoon Red Chilli powder,Salt - to taste,1 pinch Turmeric powder (Haldi),3 tablespoons Sugar,1/2 cup Sooji (Semolina/ Rava),2 sprig Curry leaves - finely chopped.,Sunflower Oil - for deep frying"
आंध्रा स्टाइल बीटरूट वेपुडु रेसिपी - andhra style beetroot vepudu recipe,Vegetarian,"3 चकुंदर - (बीटरूट),2 बड़े चमच्च तेल,1 बड़ा चमच्च चना दाल,1 बड़ा चमच्च सफ़ेद उरद दाल,1/2 छोटा चमच्च जीरा,नमक - स्वाद अनुसार,1 टहनी कढ़ी पत्ता,1 सुखी लाल मिर्च"
अकुरी रेसिपी - parsi style seasoned scrambled eggs (recipe in hindi),Eggetarian,"6 अंडे,1 प्याज - बारीक काट ले,1 टमाटर - बारीक काट ले,2 हरी मिर्च - बारीक काट ले,6 कली लहसुन - कस ले,2 बड़े चमच्च मक्खन,3 बड़े चमच्च क्रीम,नमक - स्वाद अनुसार,हरा धनिया - थोड़ा"
बेसन और मिर्च की सब्ज़ी रेसिपी - besan aur mirch ki sabzi (recipe in hindi),Vegetarian,"1/2 कप बेसन,10 हरी मिर्च,तेल - प्रयोग अनुसार,1/2 छोटा चमच्च हींग,पानी - प्रयोग अनुसार,1/2 छोटा चमच्च लाल मिर्च पाउडर,1/4 छोटा चमच्च हल्दी पाउडर,1 छोटा चमच्च निम्बू का रस,नमक - प्रयोग अनुसार,हरा धनिया - प्रयोग अनुसार"
spinach & paneer cornmeal roll recipe,Vegetarian,"1 cup Corn meal,1/2 cup Whole Wheat Flour,1/2 cup Oats Flour,1 teaspoon Active dry yeast,2 teaspoon Sugar,1/4 cup Extra Virgin Olive Oil,1/2 cup Milk,1/4 cup Buttermilk,Water - to knead,Salt - as per taste,1 cup Spinach - washed and shredded,1 cup Paneer (Homemade Cottage Cheese) - grated,1/4 cup Red Bell pepper (Capsicum),1 tablespoon Red Chilli powder,1 teaspoon Ajwain (Carom seeds) - powder,1 teaspoon Black pepper powder"
homemade trail mix recipe with dry fruits,Vegetarian,"1 cup Walnuts - quartered,1 cup Badam (Almond) - sliced,1 cup Pistachios - sliced,1/2 cup Raisins,1/2 cup Cranberries,1/2 cup Dates,1/2 cup Sunflower seeds"
sri lankan chicken curry recipe,High Protein Non Vegetarian,"500 grams Chicken - with bones,2 Onions - finely chopped,2 Tomatoes - pureed,12 cloves Garlic - finely chopped,1-1/2 inch Ginger - finely chopped,2 sprig Curry leaves,1 tablespoon Coriander Powder (Dhania),1 tablespoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),1 Pandan leaf,1 Lemongrass,Salt - to taste,Sunflower Oil - as required,Water - as required,Sunflower Oil - as required,Water - as required"
kobiche vade recipe - cabbage and multigrain fritters,Vegetarian,"1 to 1 1/4 Cabbage (Patta Gobi/ Muttaikose) - finely chopped,3/4 cup Multigrain flour,2 to 3 tablespoons Gram flour (besan),2 tablespoons Rice flour,1 tablespoon Sunflower Oil - as required for shallow frying,3 to 4 Green Chillies - finely chopped,1 inch Ginger - finely chopped,3 to 4 cloves Garlic - finely chopped,2 teaspoons Cumin seeds (Jeera),2 teaspoons Ajwain (Carom seeds),Coriander (Dhania) Leaves - handful,1 teaspoon Lemon juice,Salt - to taste"
roasted cauliflower dill soup recipe,Vegetarian,"1 Cauliflower (gobi) - cut into medium floret,4 tablespoon Milk,2 sprigs Dill leaves,2 teaspoon Walnuts - toasted,Salt - to taste,Black pepper powder - for seasoning,Sunflower Oil - for cooking"
bihari style kadhi badi recipe,High Protein Vegetarian,"1 cup Curd (Dahi / Yogurt) - (sour),2 tablespoons Gram flour (besan),1/2 teaspoon Turmeric powder (Haldi),Red Chilli powder - to taste,Salt - to taste,1 cup Gram flour (besan),1 teaspoon Ajwain (Carom seeds),1/2 teaspoon Kalonji (Onion Nigella Seeds),1/2 teaspoon Turmeric powder (Haldi),2 tablespoons Onion - chopped,Salt - to taste,Red Chilli powder - to taste,Sunflower Oil - to deep fry,1/2 cup Water,1 teaspoon Cumin seeds (Jeera),3 Dry Red Chillies,Curry leaves - few,1 teaspoon Ginger Garlic Paste,2 teaspoon Sunflower Oil,2 teaspoon Sunflower Oil"
apple vanilla whole wheat pancakes recipe,Vegetarian,"1 cup Whole Wheat Flour,1 teaspoon Baking powder,1/4 teaspoon Salt,1 Whole Eggs - well beaten or Flax meal Egg Replacer,1 teaspoon Vanilla Extract,1 cup Milk - cold,1 Apple - peeled and grated,1 tablespoon Sunflower Oil,Honey - for serving,Mixed fruits - or apples for serving"
पम्पकीन ओमभाल रेसिपी - pumpkin ombhal (recipe in hindi),Vegetarian,"4 कप कद्दू - पम्पकीन के टूकडे  (छिलका और बीज निकाले हुए),1/4 कप गुड़ -,1/4 कप इमली का पानी,2 सुखी लाल मिर्च,नमक - स्वादानुसार,1 तेज पत्ता,1 छोटा चमच्च राइ,1 बड़ा चमच्च किशमिश,1/2 छोटा चमच्च निम्बू का रस,1 बड़ा चमच्च तेल -,1/2 छोटा चमच्च सौंफ"
ice-apple and plum rose juice recipe,Vegetarian,"3-4 Plum Rose Fruit,4 Ice Apple (Nongu),1 tablespoon Sugar - to taste,Lemon juice - of 1/2 a lemon"
टोफू भुर्जी रेसिपी - tofu bhurji recipe,Vegan,"300 ग्राम टोफू - क्रम्ब्ल का ले,1 प्याज - काट ले,1 टमाटर - काट ले,1 हरी मिर्च - काट ले,1 शिमला मिर्च (लाल),1 छोटा चम्मच जीरा,2 छोटा चम्मच लाल मिर्च पाउडर,1 छोटा चम्मच काली मिर्च पाउडर,1 छोटा चम्मच हल्दी पाउडर,4 टहनी हरा धनिया - काट ले,नमक - स्वाद अनुसार,तेल"
kathirikai urulaikizhanghu pachidi recipe (brinjals and potatoes with moong dal),Vegetarian,"1/2 cup Yellow Moong Dal (Split),1/2 teaspoon Turmeric powder (Haldi),1/2 cup Shallots - finely chopped,1 Tomato - finely chopped,1/2 cup Brinjal (Baingan / Eggplant) - cubed (use smaller brinjals for elevated taste),1/2 cup Potatoes (Aloo) - cubed,3 Green Chillies - finely chopped,1/2 teaspoon Salt,Coriander (Dhania) Leaves - Handful for garnish,2 tablespoons Sunflower Oil,Curry leaves - Handful,2 Dry Red Chillies,1 teaspoon Mustard seeds,1 teaspoon White Urad Dal (Split)"
अचारी मसाला रेसिपी - achari masala recipe for fresh pickles,Vegetarian,"1 बड़ा चम्मच लाल मिर्च पाउडर,1/2 कप राइ - स्प्लिट,1/4 कप मेथी के दाने - स्प्लिट,1 छोटा चम्मच हल्दी पाउडर,1/2 छोटा चम्मच हींग,नमक - स्वाद अनुसार"
masala lachha paratha recipe,Vegetarian,"2 cups Whole Wheat Flour,1 teaspoon Coriander Powder (Dhania),1 teaspoon Red Chilli powder,1 teaspoon Garam masala powder,1/2 teaspoon Turmeric powder (Haldi),Salt - to taste,2 tablespoons Sunflower Oil,Water - as required,Ghee - to layer and cooking parathas"
थेंगाई सादम रेसिपी - spiced coconut rice (recipe in hindi),Vegetarian,"1 कप चावल,2 बड़े चमच्च तेल,1/2 कप नारियल - कस ले,1/2 छोटा चमच्च राइ,1 छोटा चमच्च सफ़ेद उरद दाल,2 सुखी लाल मिर्च - तोड़ ले,हींग - चुटकी भर,6 कढ़ी पत्ता,2 टहनी हरा धनिया - गार्निश के लिए,7 काजू,नमक - स्वाद अनुसार,1 छोटा चमच्च घी"
murungakkai puli kuzhambu recipe -spicy drumstick curry,Vegetarian,"1/2 teaspoon Mustard seeds,1/4 teaspoon Methi Seeds (Fenugreek Seeds),2 sprig Curry leaves - roughly torn,10 Shallots - halved or quartered,1 Tomato - diced small,1 cup Tamarind Water,3 to 4 Drumstick - cut into 2 inch sizes pieces,1/4 teaspoon Asafoetida (hing),1/2 teaspoon Turmeric powder (Haldi),2 teaspoons Sambar Powder,1 teaspoon Coriander Powder (Dhania),Salt - to taste,Sunflower Oil - as needed"
mangalorean padengi gassi recipe - green moong dal curry,High Protein Vegetarian,"1 cup Green Moong Dal (Whole) - sprouted,1 Onion - finely chopped,2 Tomatoes - finely chopped,1/2 teaspoon Turmeric powder (Haldi),Salt - to taste,1 cup Tamarind Water,1 cup Fresh coconut - grated,4 Dry Red Chillies,2 teaspoons Coriander (Dhania) Seeds,1/2 teaspoon Cumin seeds (Jeera),1 teaspoon Mustard seeds,1 teaspoon White Urad Dal (Split),4 cloves Garlic,2 Dry Red Chillies,1 sprig Curry leaves"
पालक पनीर पराठा रेसिपी - palak paneer paratha (recipe in hindi),High Protein Vegetarian,"2 कप गेहूं का आटा,पानी - प्रयोग अनुसार,नमक - चुटकी भर,1 छोटा चमच्च तेल,1 कप पनीर - कृमबल  कर ले,2 कप पालक - बारीक काट ले,2 बड़े चमच्च कसूरी मेथी - क्रश कर ले,2 छोटा चमच्च लाल मिर्च पाउडर,1/4 छोटा चमच्च हल्दी पाउडर,1 छोटा चमच्च अमचूर,1 छोटा चमच्च गरम मसाला पाउडर,नमक - स्वाद अनुसार,1/2 छोटा चमच्च जायफल,1 बड़ा चमच्च मक्खन - वैकल्पिक,घी - या तेल"
पत्ता गोभी और गाजर का थोरन रेसिपी - cabbage and carrot thoran (recipe in hindi),Vegetarian,"3 गाजर - कसा हुआ,1/2 पत्ता गोभी - बारीक काट ले,1 प्याज - बारीक काट ले,4 हरी मिर्च - बिच में से काट ले,1/2 छोटा चमच्च हल्दी पाउडर,1 छोटा चमच्च जीरा पाउडर,1 बड़ा चमच्च तेल,1/2 छोटा चमच्च राइ,1/2 कप नारियल - कसा हुआ,6 कढ़ी पत्ता,नमक - प्रयोग अनुसार"
spicy & masaledar aloo gobi & beans tawa sabzi recipe,Vegetarian,"2 Potatoes (Aloo) - peeled and diced,1 Cauliflower (gobi) - cut into florets,1 cup Green beans (French Beans) - cut into 1 inch pieces,2 Tomatoes - finely chopped,1 inch Ginger - chopped,4 cloves Garlic - chopped,1 Green Chilli - slit,1 teaspoon Red Chilli powder,1/4 teaspoon Turmeric powder (Haldi),2 teaspoons Coriander Powder (Dhania),1 teaspoon Cumin powder (Jeera),1 teaspoon Garam masala powder,1 teaspoon Amchur (Dry Mango Powder),Salt - to taste,Sunflower Oil,3 sprig Coriander (Dhania) Leaves - chopped"
तीखे छोटे आलू रेसिपी - spicy baby potatoes (recipe in hindi),Vegetarian,"12 छोटे आलू,तेल - प्रयोग अनुसार,1 सुखी लाल मिर्च,1 छोटा चमच्च जीरा,1 टहनी कढ़ी पत्ता,1 छोटा चमच्च धनिया पाउडर,1/2 छोटा चमच्च हल्दी पाउडर,1 छोटा चमच्च जीरा पाउडर,1 छोटा चमच्च लाल मिर्च पाउडर,1 छोटा चमच्च गरम मसाला पाउडर,1 छोटा चमच्च अमचूर पाउडर,नमक - स्वाद अनुसार,1 छोटा चमच्च निम्बू का रस,3 बड़ा चमच्च हरा धनिया - काट ले"
konkani style sungta ambat aani tallel sungta recipe- fried prawns & curry,Non Vegeterian,"20 Prawns,1 cup Fresh coconut - grated,2 teaspoons Coriander (Dhania) Seeds,3 Whole Black Peppercorns,4 Byadagi Dried Chillies - broken,1 teaspoon Tamarind,1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Red Chilli powder - adjustable,2 Onions - chopped,1 Potato (Aloo) - peel and cut the potatoes,2 tablespoons Sunflower Oil - for the gravy,Sunflower Oil - for roasting the spices,Salt - to taste,10 Prawns,2 teaspoons Lemon juice,1/4 teaspoon Turmeric powder (Haldi),1 teaspoon Red Chilli powder,1 teaspoon Coriander Powder (Dhania),1/4 cup Rice flour,1/4 cup Sooji (Semolina/ Rava),Salt - to taste,Sunflower Oil - for frying"
avocado egg sandwich recipe,Eggetarian,"2 Avocados - cut lengthwise,1 teaspoon Lemon juice,1 teaspoon Black pepper powder - 1 teaspoon black pepper powder,1 pinch Salt,1 1/2 teaspoon Extra Virgin Olive Oil - 1 1/2 teaspoons olive oil,8 Whole Wheat Brown Bread,1 Cucumber - Sliced,10 Pickled Jalapenos - Pickled jalapenos,2 Boiled egg - sliced into rounds,Iceberg lettuce - Lettuce leaves,2 Gherkins - Pickled gherkins,Coriander (Dhania) Leaves - finely chopped"
grated carrot cucumber tomato raita recipe,Vegetarian,"1 Cucumber - finely diced,1 Tomato - finely chopped,1/2 Carrot (Gajjar) - grated,1 cup Curd (Dahi / Yogurt),1 teaspoon Green Chilli - finely chopped,1/4 teaspoon Cumin seeds (Jeera) - ground,1/2 teaspoon Red Chilli powder,Salt - to taste,Black pepper powder - to taste"
lemon ginger spice detox tea recipe,Vegetarian,"2-1/2 cups Water,1 inch Ginger,1/2 inch Cinnamon Stick (Dalchini),3 Cardamom (Elaichi) Pods/Seeds - crushed,4 Mint Leaves (Pudina),6 Tulsi (holy basil),Lemongrass - (1 strand),1 teaspoon Black tea - leaves,1 teaspoon Sugar - (optional)"
basil pesto bombs recipe,Vegetarian,"2 cups Basil leaves,3 cloves Garlic,1/3 cup Walnuts - pine nuts,1/2 cup Extra Virgin Olive Oil,2 tablespoons Parmesan cheese,1/2 Black pepper powder,1/2 Lemon juice,1 pinch Salt,400 grams Sweet Potato,1/2 Chia Seeds,1/2 Dried oregano,1/2 Apple cider vinegar,1-2 cloves Garlic - minced,2 teaspoons Red Chilli flakes,1-1/4 cup Oats Flour,Salt - to taste,Sunflower Oil - to cook"
maharashtrian chavali chi usal recipe - black eyed peas curry,Vegetarian,"1 cup Black Eyed Beans (Lobia) - soaked for 2 hours,1 Onion - chopped,1 Tomato - chopped,1 tablespoon Garam masala powder,1 teaspoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),1 Onion - chopped,4 tablespoon Fresh coconut,2 tablespoon Coriander (Dhania) Seeds,1 tablespoon Fennel seeds (Saunf),1 inch Ginger - chopped,4 cloves Garlic"
goan style empada de camarao recipe (prawn pie),Non Vegeterian,"300 grams Prawns - deveined and chopped small,1 Onion - chopped,1 Tomato - chopped,10 Dry Red Chillies,3 cloves Garlic,1 inch Cinnamon Stick (Dalchini),1 teaspoon Whole Black Peppercorns,1 Onion - chopped,18 grams Tamarind Paste,1 cup Whole Wheat Flour,1/2 cup Vivatta Maida,1 teaspoon Red Chilli powder,1/2 teaspoon Salt,1 tablespoon Sugar,1/2 cup Chilled butter - cut into small pea size pieces,3 to 4 tablespoons Chilled water"
